Queue name,Desk,account,Timeframe BH,Timeframe OOH,SLA answered,abd rate,autre SLA,Target Ans rate,Target Abd rate,Target autre SLA
Nissan DU SHFL 1,Nissan DU,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan DU SHFL 2,Nissan DU,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR App,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR Existing,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR HW,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR Other,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR PW,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan FR VIP,Nissan FR,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan IT App,Nissan IT,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan IT Existing,Nissan IT,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan IT HW,Nissan IT,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan IT Other,Nissan IT,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan IT PW,Nissan IT,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan NKSA - Existing ticket,Nissan NKSA,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan NKSA - Hardware Issue,Nissan NKSA,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan NKSA - Other,Nissan NKSA,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan NKSA - Password,Nissan NKSA,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan NMEF - Application issue,Nissan NMEF,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan NMEF - Existing ticket,Nissan NMEF,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan NMEF - Hardware Issue,Nissan NMEF,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan NMEF - Other,Nissan NMEF,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan NMEF - Password,Nissan NMEF,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan SP OF Existing,Nissan Sp,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan SP OF New,Nissan Sp,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan SP SHFL Existing,Nissan Sp,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Nissan SP SHFL New,Nissan Sp,Nissan,40,40,SLA1,Abd1,,0.9,0.95,
Royal_Philips_French_Opt0_Q,Philips FR,Philips,60,60,SLA1,Abd2,,0.8,0.05,
Royal_Philips_French_Opt1_Default_Q,Philips FR,Philips,60,60,SLA1,Abd2,,0.8,0.05,
Benelux_Dutch_Queue,Benelux DU,Renault,40,40,SLA1,Abd1,,0.9,0.95,
Benelux_ENG_Queue,Benelux ENG,Renault,40,40,SLA1,Abd1,,0.9,0.95,
Benelux_French_Queue,Benelux FR,Renault,40,40,SLA1,Abd1,,0.9,0.95,
German_Queue,Ren German,Renault,40,40,SLA1,Abd1,,0.9,0.95,
Nordic_Eng_Queue,Nordic Eng,Renault,40,40,SLA1,Abd1,,0.9,0.95,
Renault UK,Renault UK,Renault,40,40,SLA1,Abd1,,0.9,0.95,
Renault UK Dealers,Renault UK Dealers,Renault,40,40,SLA1,Abd1,,0.9,0.95,
Renault_bureautique_Opt5_Q,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
Renault_Catalogue_Opt7_Q,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
Renault_industriels_Opt2_Q,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
Renault_ivr_Appl_metier_Q,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
Renault_materiel_Opt4_Q,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
Renault_p_ivr_pwd_Tel_srv_1.2_Q,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
Renault_pda_palm_Opt3_Q,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
Renault_select_Opt0_Q,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
RN_CH_AT_FR,CH_AT_FR,Renault,40,40,SLA1,Abd1,,0.9,0.95,
RN_CH_AT_GER,CH_AT_GER,Renault,40,40,SLA1,Abd1,,0.9,0.95,
RN_GSD_Eng_Queue,Renault Eng,Renault,40,180,SLA1,Abd1,,0.9,0.95,
RN_Importeurs,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
RN_Ligne_Rouge VIP,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
RN_Red Line,Renault FR,Renault,40,180,SLA1,Abd1,,0.9,0.95,
